key ,d1 (mm) ,s (mm) ,m_max (mm) ,e_min (mm)
M1 ,1,2.5,0.8,2.71
M1.2 ,1.2,3,1,3.28
M1.4 ,1.4,3,1.2,3.28
M1.6 ,1.6,3.2,1.3,3.48
M1.7 ,1.7,3.4,1.4,3.82
M1.8 ,1.8,3.5,1.4,3.82
M2 ,2,4,1.6,4.32
M2.3 ,2.3,4.5,1.8,4.88
M2.5 ,2.5,5,2,5.45
M3 ,3,5.5,2.4,6.01
M3.5 ,3.5,6,2.8,6.58
M4 ,4,7,3.2,7.66
M5 ,5,8,4.7,8.79
M6 ,6,10,5.2,11.05
M7 ,7,11,5.5,12.12
M8 ,8,13,6.8,14.38
M10 ,10,16,8.4,17.77
M12 ,12,18,10.8,20.03
M14 ,14,21,12.8,23.35
M16 ,16,24,14.8,26.75
M18 ,18,27,15.8,29.56
M20 ,20,30,18,32.95
M22 ,22,34,19.4,37.29
M24 ,24,36,21.5,39.55
M27 ,27,41,23.8,45.29
M30 ,30,46,25.6,50.85
M33 ,33,50,28.7,55.37
M36 ,36,55,31,60.79
M39 ,39,60,33.4,66.44
M42 ,42,65,34,71.3
M45 ,45,70,36,76.95
M48 ,48,75,38,82.6
M52 ,52,80,42,88.25
M56 ,56,85,45,93.56
M60 ,60,90,48,99.21
M64 ,64,95,51,104.86
M68 ,68,100,54,110.51
M72 ,72,105,58,116.16
M76 ,76,110,61,121.81
M80 ,80,115,64,127.46
M85 ,85,120,68,133.11
M90 ,90,130,72,144.08
M95 ,95,135,76,150.74
M100 ,100,145,80,161.02
M105 ,105,150,84,167.69
M110 ,110,155,88,172.32
M120 ,120,170,96,190.29
M125 ,125,180,100,200.57
M140 ,140,200,112,220.8
