LM3L;4,000;3,000;0,000;7,000;0,000;19,000;0,000;—;—;—;—;10,000;-2,000;139,000;216,000;3,000
LM4L;4,000;4,000;-0,010;8,000;-0,013;23,000;-0,300;—;;—;—;10,000;-3,000;139,000;254,000;4,000
LM5L;4,000;5,000;;10,000;;29,000;;20,000;0,000;1,100;9,600;10,000;-3,000;263,000;412,000;8,000
LM6L;4,000;6,000;;12,000;;35,000;;27,000;-0,300;1,100;11,500;15,000;-5,000;324,000;529,000;16,000
LM8L;4,000;8,000;;15,000;;45,000;;35,000;;1,100;14,300;15,000;-5,000;431,000;784,000;31,000
LM10L;4,000;10,000;;19,000;0,000;55,000;;44,000;;1,300;18,000;15,000;-5,000;588,000;1100,000;62,000
LM12L;4,000;12,000;;21,000;-0,016;57,000;;46,000;;1,300;20,000;15,000;-5,000;657,000;1200,000;80,000
LM13L;4,000;13,000;;23,000;;61,000;;46,000;;1,300;22,000;15,000;-7,000;814,000;1570,000;90,000
LM16L;5,000;16,000;;28,000;;70,000;;53,000;;1,600;27,000;15,000;-7,000;1230,000;2350,000;145,000
LM20L;5,000;20,000;0,000;32,000;0,000;80,000;;61,000;;1,600;30,500;20,000;-9,000;1400,000;2750,000;180,000
LM25L;6,000;25,000;-0,012;40,000;-0,019;112,000;0,000;82,000;0,000;1,850;38,000;20,000;-9,000;1560,000;3140,000;440,000
LM30L;6,000;30,000;;45,000;;123,000;-0,400;89,000;-0,400;1,850;43,000;20,000;-9,000;2490,000;5490,000;580,000
LM35L;6,000;35,000;0,000;52,000;0,000;135,000;;99,000;;2,100;49,000;25,000;-13,000;2650,000;6270,000;795,000
LM40L;6,000;40,000;-0,015;60,000;-0,022;154,000;;121,000;;2,100;57,000;25,000;-13,000;3430,000;8040,000;1170,000
LM50L;6,000;50,000;;80,000;;192,000;;148,000;;2,600;76,500;25,000;-13,000;6080,000;15900,000;3100,000
LM60L;6,000;60,000;0,000;90,000;0,000;211,000;;170,000;;3,150;86,500;25,000;-16,000;7650,000;20000,000;3500,000
