LME5;4,000;5,000;+0.008;12,000;0,000;22,000;0,000;14,500;0,000;1,100;11,500;12,000;-5,000;206,000;265,000;11,000
LME8;4,000;8,000;0,000;16,000;-0,008;25,000;-0,008;16,500;-0,200;1,100;15,200;12,000;-5,000;265,000;402,000;20,000
LME12;4,000;12,000;;22,000;0,000;32,000;;22,900;;1,300;21,000;12,000;-7,000;510,000;775,000;41,000
LME16;5,000;16,000;+0.009;26,000;-0,009;36,000;;24,900;;1,300;24,900;12,000;-7,000;775,000;1180,000;57,000
LME20;5,000;20,000;-0,001;32,000;0,000;45,000;;31,500;;1,600;30,300;15,000;-9,000;863,000;1370,000;91,000
LME25;6,000;25,000;+0.011;40,000;-0,011;58,000;0,000;44,100;0,000;1,850;37,500;15,000;-9,000;980,000;1570,000;215,000
LME30;6,000;30,000;-0,001;47,000;;68,000;-0,300;52,100;-0,300;1,850;44,500;15,000;-9,000;1570,000;2750,000;325,000
LME40;6,000;40,000;+0.013;62,000;0,000;80,000;;60,600;;2,150;59,000;17,000;-13,000;2160,000;4020,000;705,000
LME50;6,000;50,000;-0,002;75,000;-0,013;100,000;;77,600;;2,650;72,000;17,000;-13,000;3820,000;7940,000;1130,000
LME60;6,000;60,000;;90,000;0,000;125,000;0,000;101,700;0,000;3,150;86,500;20,000;-16,000;4710,000;10000,000;2220,000
